"YEAR","REGION","STATEFIP","STATECENSUS","METRO","METAREA","COUNTY","METFIPS","INDIVIDCC","FAMINC","AGE","SEX","RACE","MARST","HISPAN","VOTEREG","VOWHYNOT","VOYNOTREG","VOTEHOW","VOTEWHEN","VOREGHOW","VOTERES","VOTERESP"
2012,31,37,56,2,3121,37067,49180,0,720,52,1,200,1,0,2,99,99,1,2,5,7,1
2012,31,37,56,2,3121,37067,49180,0,720,53,2,200,1,0,2,99,99,1,2,5,7,2
2012,31,37,56,2,1521,37119,16740,1,710,41,2,100,2,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,710,18,2,100,6,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,710,26,1,100,6,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,710,0,1,100,9,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,710,7,2,100,9,410,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,710,25,2,100,6,410,0,99,2,99,99,99,6,2
2012,31,37,56,2,1521,37119,16740,1,710,36,1,100,6,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,830,64,1,200,1,0,98,99,99,99,99,99,7,2
2012,31,37,56,2,1521,37119,16740,1,830,62,2,200,1,0,2,99,99,1,2,97,6,2
2012,31,37,56,2,1521,37119,16740,1,830,26,1,200,6,0,2,99,99,1,1,6,6,1
2012,31,37,56,2,1521,37119,16740,1,830,65,2,200,3,0,2,99,99,2,2,1,6,1
2012,31,37,56,2,6642,37183,39580,0,843,61,2,100,1,0,2,99,99,1,2,1,5,1
2012,31,37,56,2,6642,37183,39580,0,843,60,1,100,1,0,2,99,99,1,2,1,5,2
2012,31,37,56,2,3122,0,24660,0,720,30,1,100,6,0,1,11,99,99,99,1,5,1
2012,31,37,56,2,3122,0,24660,0,720,0,2,100,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,3122,0,24660,0,720,5,1,100,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,3122,0,24660,0,720,30,2,100,6,0,1,11,99,99,99,1,5,2
2012,31,37,56,2,2560,0,22180,0,730,57,1,100,1,200,2,99,99,1,2,6,7,1
2012,31,37,56,2,2560,0,22180,0,730,60,2,100,1,0,1,5,99,99,99,6,7,2
2012,31,37,56,2,2560,0,22180,0,730,33,2,100,6,200,2,99,99,1,2,6,7,2
2012,31,37,56,2,2560,0,22180,0,730,36,1,100,6,200,2,99,99,1,2,6,7,2
2012,31,37,56,2,2560,0,22180,0,730,9,2,200,9,200,99,99,99,99,99,99,99,9
2012,31,37,56,2,2560,0,22180,0,730,13,2,200,9,200,99,99,99,99,99,99,99,9
2012,31,37,56,2,2560,0,22180,0,730,15,2,200,6,200,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,740,47,1,200,1,0,2,99,99,1,97,1,7,2
2012,31,37,56,2,6642,37183,39580,0,740,46,2,200,1,0,2,99,99,1,2,1,7,1
2012,31,37,56,2,6642,37183,39580,0,740,22,1,200,6,0,2,99,99,1,97,1,7,2
2012,31,37,56,2,3122,0,24660,0,841,53,2,200,6,0,0,99,6,99,99,99,5,1
2012,31,37,56,2,3122,0,24660,0,841,25,2,200,6,0,0,99,6,99,99,99,5,2
2012,31,37,56,2,6642,37183,39580,0,710,65,2,100,1,0,2,99,99,1,2,3,7,2
2012,31,37,56,2,6642,37183,39580,0,710,70,1,100,1,0,2,99,99,1,1,97,7,1
2012,31,37,56,2,1521,37119,16740,1,842,44,1,200,4,0,2,99,99,1,1,3,7,1
2012,31,37,56,2,1521,37119,16740,1,842,46,2,200,4,410,2,99,99,1,2,3,6,2
2012,31,37,56,2,3122,0,24660,0,710,29,2,200,6,0,2,99,99,1,2,4,5,1
2012,31,37,56,2,1521,37119,16740,1,842,39,2,100,1,0,2,99,99,1,2,1,7,1
2012,31,37,56,2,1521,37119,16740,1,842,48,1,100,1,0,2,99,99,1,1,1,7,2
2012,31,37,56,2,3122,0,24660,0,470,80,2,100,5,0,2,99,99,1,2,97,2,1
2012,31,37,56,2,3122,0,24660,0,470,51,2,200,6,0,2,99,99,1,1,1,6,1
2012,31,37,56,2,3122,0,24660,0,470,25,2,200,6,0,2,99,99,1,1,4,5,2
2012,31,37,56,2,3122,0,24660,0,470,8,2,200,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,3122,0,24660,0,470,10,1,200,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6641,0,20500,0,740,43,1,200,4,0,2,99,99,1,2,97,5,1
2012,31,37,56,2,1521,37119,16740,1,843,62,1,100,1,0,2,99,99,1,1,9,7,1
2012,31,37,56,2,1521,37119,16740,1,843,64,2,100,1,0,2,99,99,1,1,9,7,2
2012,31,37,56,2,3121,37067,49180,0,600,29,2,100,1,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,3121,37067,49180,0,600,34,1,100,1,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,3121,37067,49180,0,600,11,1,100,9,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,3121,37067,49180,0,600,12,1,100,9,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,3121,37067,49180,0,600,13,1,100,9,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,830,50,2,100,1,0,2,99,99,1,2,1,3,1
2012,31,37,56,2,1521,37119,16740,1,830,52,1,100,1,0,2,99,99,1,2,1,3,1
2012,31,37,56,2,1521,0,16740,0,841,42,1,100,1,0,2,99,99,1,2,97,1,2
2012,31,37,56,2,1521,0,16740,0,841,35,2,100,1,0,2,99,99,1,2,1,5,1
2012,31,37,56,2,1521,0,16740,0,841,0,2,100,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,0,16740,0,841,3,2,100,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,0,16740,0,841,6,2,100,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,820,46,1,100,1,410,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,820,45,2,100,1,410,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,820,10,1,100,9,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,820,21,1,100,6,410,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,430,21,2,100,6,410,99,99,99,99,99,99,99,9
