"YEAR","REGION","STATEFIP","STATECENSUS","METRO","METAREA","COUNTY","METFIPS","INDIVIDCC","FAMINC","PERNUM","WTFINL","AGE","SEX","RACE","MARST","CITIZEN","HISPAN","VOTEREG","VOWHYNOT","VOYNOTREG","VOTEHOW","VOTEWHEN","VOREGHOW","VOTERES","VOTERESP"
2012,31,37,56,2,1521,37119,16740,1,600,4,2116.4682,12,1,200,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,100,1,3014.4244,85,2,100,5,3,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,0,16740,0,830,1,3936.172,38,2,100,1,2,410,98,99,99,99,99,99,7,2
2012,31,37,56,2,1521,0,16740,0,830,2,3440.5698,39,1,100,1,0,0,1,4,99,99,99,1,7,1
2012,31,37,56,2,1521,0,16740,0,830,3,4223.67,5,2,100,9,0,410,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,0,16740,0,830,4,4660.0023,6,2,100,9,0,410,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,0,16740,0,830,5,4678.0221,11,2,100,9,0,410,99,99,99,99,99,99,99,9
2012,31,37,56,2,3121,37067,49180,0,720,1,3548.3888,52,1,200,1,0,0,2,99,99,1,2,5,7,1
2012,31,37,56,2,3121,37067,49180,0,720,2,3047.2615,53,2,200,1,0,0,2,99,99,1,2,5,7,2
2012,31,37,56,2,1521,37119,16740,1,710,1,3269.7148,41,2,100,2,3,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,710,2,3040.6325,18,2,100,6,3,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,710,3,3500.7876,26,1,100,6,3,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,710,4,5385.5247,0,1,100,9,0,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,710,5,3278.1767,7,2,100,9,0,410,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,710,6,3771.4971,25,2,100,6,2,410,0,99,2,99,99,99,6,2
2012,31,37,56,2,1521,37119,16740,1,710,7,3086.6243,36,1,100,6,3,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,830,1,3676.7735,64,1,200,1,0,0,98,99,99,99,99,99,7,2
2012,31,37,56,2,1521,37119,16740,1,830,2,3921.2873,62,2,200,1,0,0,2,99,99,1,2,97,6,2
2012,31,37,56,2,1521,37119,16740,1,830,3,4293.6725,26,1,200,6,0,0,2,99,99,1,1,6,6,1
2012,31,37,56,2,1521,37119,16740,1,830,4,3568.4711,65,2,200,3,0,0,2,99,99,2,2,1,6,1
2012,31,37,56,2,6642,37183,39580,0,843,1,3112.1448,61,2,100,1,0,0,2,99,99,1,2,1,5,1
2012,31,37,56,2,6642,37183,39580,0,843,2,3227.4032,60,1,100,1,0,0,2,99,99,1,2,1,5,2
2012,31,37,56,2,3122,0,24660,0,720,1,4107.947,30,1,100,6,0,0,1,11,99,99,99,1,5,1
2012,31,37,56,2,3122,0,24660,0,720,2,4047.0608,0,2,100,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,3122,0,24660,0,720,3,3433.804,5,1,100,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,3122,0,24660,0,720,4,3682.3496,30,2,100,6,0,0,1,11,99,99,99,1,5,2
2012,31,37,56,2,2560,0,22180,0,730,1,3735.2417,57,1,100,1,0,200,2,99,99,1,2,6,7,1
2012,31,37,56,2,2560,0,22180,0,730,2,3616.3794,60,2,100,1,2,0,1,5,99,99,99,6,7,2
2012,31,37,56,2,2560,0,22180,0,730,3,4579.0332,33,2,100,6,0,200,2,99,99,1,2,6,7,2
2012,31,37,56,2,2560,0,22180,0,730,4,3854.3354,36,1,100,6,1,200,2,99,99,1,2,6,7,2
2012,31,37,56,2,2560,0,22180,0,730,5,3815.8096,9,2,200,9,0,200,99,99,99,99,99,99,99,9
2012,31,37,56,2,2560,0,22180,0,730,6,4125.4287,13,2,200,9,0,200,99,99,99,99,99,99,99,9
2012,31,37,56,2,2560,0,22180,0,730,7,3115.9795,15,2,200,6,0,200,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,740,1,3371.6635,47,1,200,1,0,0,2,99,99,1,97,1,7,2
2012,31,37,56,2,6642,37183,39580,0,740,2,3204.5208,46,2,200,1,0,0,2,99,99,1,2,1,7,1
2012,31,37,56,2,6642,37183,39580,0,740,3,5263.3999,22,1,200,6,0,0,2,99,99,1,97,1,7,2
2012,31,37,56,2,3122,0,24660,0,841,1,3394.9675,53,2,200,6,0,0,0,99,6,99,99,99,5,1
2012,31,37,56,2,3122,0,24660,0,841,2,3527.0835,25,2,200,6,0,0,0,99,6,99,99,99,5,2
2012,31,37,56,2,6642,37183,39580,0,710,1,3141.1154,65,2,100,1,0,0,2,99,99,1,2,3,7,2
2012,31,37,56,2,6642,37183,39580,0,710,2,3578.6806,70,1,100,1,0,0,2,99,99,1,1,97,7,1
2012,31,37,56,2,1521,37119,16740,1,842,1,4734.7684,44,1,200,4,0,0,2,99,99,1,1,3,7,1
2012,31,37,56,2,1521,37119,16740,1,842,2,6402.1625,46,2,200,4,2,410,2,99,99,1,2,3,6,2
